id;course_id;grade
15;3;15.9
15;3;14.4
15;3;12.9
15;3;15.3
15;3;13.1
15;3;15.3
15;3;11.8
15;3;16.8
15;3;15.5
15;3;13.7
15;4;14
15;4;16.5
15;4;13.5
15;4;16.5
15;4;15.5
15;4;16
15;4;15
15;4;13
15;6;12
15;6;15
15;6;11.5
15;6;10
15;6;12
15;6;12.5
15;8;11.5
15;8;8.5
15;8;8
15;8;11
15;1;15.5
15;1;14
15;1;14.5
15;9;10.25
15;9;11.25
15;9;11.25
15;9;8
15;9;10.75
15;9;10.75
15;9;9.75
15;9;11.75
15;5;12
15;5;11
15;5;13
15;5;12.5
15;7;9
15;7;10.5
15;7;7
15;7;8.5
15;7;9
15;7;15
15;7;3.5
15;7;8
15;7;9.5
15;10;13.5
15;10;11.5
15;10;16.5
15;10;16
15;10;17
15;10;10
15;2;16
15;2;9
15;2;9.5
15;2;19
15;2;16.5
15;2;13
15;2;9.5
15;2;11.5
19;3;15
19;3;15.1
19;3;14.2
19;3;14.4
19;3;11.3
19;3;13
19;3;12.2
19;3;15.4
19;3;14.7
19;3;16.6
19;4;14
19;4;13.5
19;4;15.5
19;4;13.5
19;4;14.5
19;4;14
19;4;13.5
19;6;8
19;6;9
19;6;9.5
19;6;11
19;6;10
19;6;12
19;8;10
19;8;12
19;8;12
19;8;12.5
19;1;15.5
19;1;15.5
19;1;13
19;9;$
19;9;10.75
19;9;11.25
19;9;10.25
19;9;10.75
19;9;10.75
19;9;8.75
19;9;13.5
19;5;11
19;5;14
19;5;14
19;5;10
19;7;9
19;7;10.5
19;7;13
19;7;11
19;7;9.5
19;7;4
19;7;7
19;7;3.5
19;7;8
19;10;15
19;10;13.5
19;10;11
19;10;14.5
19;10;11
19;10;14.5
19;2;16.5
19;2;15
19;2;12.5
19;2;17.5
19;2;12
19;2;13.5
19;2;9.5
19;2;6.5
19;2;14
66;3;11.3
66;3;15.1
66;3;16.4
66;3;15.2
66;3;13.8
66;3;15.7
66;3;14.6
66;3;14.2
66;3;16.5
66;4;16
66;4;12
66;4;13.5
66;4;17.5
66;4;16
66;4;13
66;4;15.5
66;4;14
66;6;14
66;6;11
66;6;14
66;6;11
66;6;9.5
66;6;10
66;8;11.5
66;8;12
66;8;$
66;8;12
66;1;15
66;1;15
66;1;16.5
66;9;8.25
66;9;12
66;9;12.25
66;9;8.25
66;9;12.5
66;9;5
66;9;10
66;5;13
66;5;9.5
66;5;10.5
66;7;6.5
66;7;4.5
66;7;11
66;7;12.5
66;7;10
66;7;14
66;7;9.5
66;7;8
66;10;16.5
66;10;14.5
66;10;15
66;10;17
66;10;10
66;2;11
66;2;11
66;2;11
66;2;9.5
66;2;12.5
66;2;18
66;2;8.5
66;2;6.5
66;2;14
103;3;18.5
103;3;19.9
103;3;15.9
103;3;16.1
